Index,Software Name,Software Version,Software Category
acemd,Acemd,3.5.1,Computational Chemistry
amber,AMBER,22,Computational Chemistry
ampl,AMPL,1.3.0,Computational Chemistry
apbs,APBS,3.4.1,Computational Chemistry
autodock,Autodock,4.2.6,Computational Chemistry
autodockvina,AutodockVina,1_1_2,Computational Chemistry
charmm,CHARMM,c46b1,Computational Chemistry
cryodrgn,cryoDRGN,1.1.0,Computational Chemistry
gamess,GAMESS,30Sep22-R2,Computational Chemistry
gaussian,Gaussian,G16-C02,Computational Chemistry
gromacs,gromacs,2022.4,Computational Chemistry
namd,NAMD,2.14,Computational Chemistry
parmed,parmed,4.0.0,Computational Chemistry
psi4,Psi4,1.6.1,Computational Chemistry
q-chem,Q-Chem,5.0.1,Computational Chemistry
schrodinger,Schrodinger,2023.1,Computational Chemistry
vmd,vmd,1.9.3,Computational Chemistry
b-soid,B-SOID,1.3,Computational Chemistry
biobert,BioBERT,v20200409,Computational Chemistry
biogans,BioGANs,20210916,Computational Chemistry
cryodrgn,cryoDRGN,1.1.0,Computational Chemistry
cudnn,cuDNN,8.0.3,Computational Chemistry
danq,DanQ,20220825,Computational Chemistry
deepcadrt,deepcadrt,0.1.0,Computational Chemistry
deepcell-tf,DeepCell-tf,0.12.6,Computational Chemistry
deepemhancer,DeepEmhancer,0.15,Computational Chemistry
deeplabcut,DeepLabCut,2.3.4,Computational Chemistry
deepmedic,deepmedic,0.8.4,Computational Chemistry
deepmm,DeepMM,20220830,Computational Chemistry
gcn_cancer,GCN_Cancer,20221105,Computational Chemistry
isonet,IsoNet,0.2.1,Computational Chemistry
keras,keras,2.4.3; 2.9.1,Computational Chemistry
pytom,PyTom,1.0,Computational Chemistry
release,ReLeaSE,20220825,Computational Chemistry
rfdiffusion,RFdiffusion,1.1.0,Computational Chemistry
spliceai,SpliceAI,1.3.1,Computational Chemistry
talos,talos,1.0,Computational Chemistry
tensorqtl,TensorQTL,1.0.7,Computational Chemistry
tybalt,Tybalt,202208265,Computational Chemistry
unet,UNet,20220825,Computational Chemistry
abyss,abyss,2.3.5,Computational Chemistry
afterqc,AfterQC,0.9.7,Computational Chemistry
angsd,angsd,0.940,Computational Chemistry
annotsv,AnnotSV,3.3.1,Computational Chemistry
annovar,ANNOVAR,2020-06-08,Computational Chemistry
ascatngs,ascatNgs,4.5.0,Computational Chemistry
augustus,augustus,3.4.0,Computational Chemistry
autoreject,autoreject,0.3.1,Computational Chemistry
bam2fastq,bam2fastq,1.1.0,Computational Chemistry
bamliquidator,bamliquidator,1.5.2,Computational Chemistry
bamreadcount,bamreadcount,cram-v0.0.1,Computational Chemistry
bamtools,bamtools,2.5.2,Computational Chemistry
bamutil,bamUtil,1.0.15,Computational Chemistry
bartender,Bartender,1.1,Computational Chemistry
basespace_cli,basespace_cli,1.5.2,Computational Chemistry
bazam,bazam,1.0.1,Computational Chemistry
bbtools,bbtools,38.96,Computational Chemistry
bcl-convert,bcl-convert,4.1.5,Computational Chemistry
bcl2fastq,bcl2fastq,2.20,Computational Chemistry
bedops,bedops,2.4.41,Computational Chemistry
bedtools,bedtools,2.30.0,Computational Chemistry
beta,BETA,1.0.7,Computational Chemistry
bigscale2,bigSCale2,20191119,Computational Chemistry
bioawk,bioawk,1.0,Computational Chemistry
biobakery_workflows,biobakery_workflows,3.1,Computational Chemistry
biobambam2,biobambam2,2.0.185-release-20221211202123,Computational Chemistry
biom-format,biom-format,2.1.12,Computational Chemistry
bismark,bismark,0.23.1,Computational Chemistry
bonito,bonito,0.7.2,Computational Chemistry
bowtie,bowtie,1.3.1,Computational Chemistry
bowtie2,bowtie2,2.5.1,Computational Chemistry
brass,BRASS,6.3.4,Computational Chemistry
breakdancer,breakdancer,1.4.5,Computational Chemistry
breseq,breseq,0.37.1,Computational Chemistry
bsmap,bsmap,2.90,Computational Chemistry
busco,busco,5.4.7,Computational Chemistry
bwa,bwa,0.7.17,Computational Chemistry
bwa-mem2,bwa-mem2,2.2.1,Computational Chemistry
cadd,CADD,1.6.post1,Computational Chemistry
canu,Canu,2.1,Computational Chemistry
canvas,Canvas,1.40,Computational Chemistry
ccbrpipeliner,ccbrpipeliner,4.0.2,Computational Chemistry
ceas,ceas,1.0.2,Computational Chemistry
cellprofiler,cellprofiler,4.2.5,Computational Chemistry
cellranger,cellranger,7.2.0,Computational Chemistry
cellranger-arc,cellranger-arc,2.0.2,Computational Chemistry
cellranger-atac,cellranger-atac,2.1.0,Computational Chemistry
cellsnp-lite,cellsnp-lite,1.2.2,Computational Chemistry
cgpbattenberg,cgpBattenberg,3.5.3,Computational Chemistry
checkm2,checkm2,1.0.2,Computational Chemistry
chess,CHESS,0.3.7,Computational Chemistry
chromhmm,ChromHMM,1.23,Computational Chemistry
circexplorer2,circexplorer2,2.3.8,Computational Chemistry
circos,circos,0.69-9,Computational Chemistry
clair3,Clair3,0.1-r6,Computational Chemistry
clark,clark,1.2.6.1,Computational Chemistry
cnvkit,cnvkit,0.9.9,Computational Chemistry
cnvnator,cnvnator,0.4.1,Computational Chemistry
cogentap,cogentap,2.0.1,Computational Chemistry
combp,combp,0.50.6,Computational Chemistry
conpair,conpair,0.2,Computational Chemistry
crispresso,crispresso,2.2.8,Computational Chemistry
crossmap,crossmap,0.6.5,Computational Chemistry
csvkit,csvkit,1.3.0,Computational Chemistry
cufflinks,cufflinks,2.2.1,Computational Chemistry
cutadapt,cutadapt,4.4,Computational Chemistry
cutruntools2,cutruntools2,2.0,Computational Chemistry
danpos,DANPOS,3.1.1,Computational Chemistry
deepcell-tf,DeepCell-tf,0.12.6,Computational Chemistry
deepconsensus,deepconsensus,0.3.1,Computational Chemistry
deepsignal,deepsignal,2-0.1.3,Computational Chemistry
deeptools,deeptools,3.5.4,Computational Chemistry
deepvariant,deepvariant,1.5.0,Computational Chemistry
defuse,defuse,0.8.1,Computational Chemistry
delly,delly,1.1.6,Computational Chemistry
detonate,DETONATE,1.11,Computational Chemistry
distiller-nf,distiller-nf,0.3.3,Computational Chemistry
dorado,dorado,0.4.2,Computational Chemistry
drop,drop,1.3.3,Computational Chemistry
ea-utils,ea-utils,1.04.807,Computational Chemistry
edd,edd,1.1.19,Computational Chemistry
encode-atac-seq-pipeline,encode-atac-seq-pipeline,2.1.0,Computational Chemistry
